x,col y 1,col y 2,col y 3,col y 4,col y 5,col y 6,col y 7,col y 8
0,4.6551724137931,4.6551724137931,4.6551724137931,4.6551724137931,4.6551724137931,4.6551724137931,4.6551724137931,4.6551724137931
0.28040361125863,50.2558398220245,27.1301446051168,15.567296996663,10.761957730812,10.5617352614016,8.80978865406007,7.1579532814238,5.65628476084538
0.509824747742963,64.5717463848721,39.6941045606229,24.7775305895439,18.5205784204672,15.817575083426,12.0133481646274,9.01001112347052,7.00778642936596
0.771109930961232,72.1802002224694,49.8553948832036,31.8854282536151,23.9766407119021,20.2224694104561,14.8164627363737,11.0622914349277,7.80867630700779
1.02389803505045,77.4360400444939,57.5139043381535,40.3448275862069,29.9332591768632,23.5761957730812,17.5695216907675,13.1646273637375,8.40934371523915
1.49761019649495,83.7430478309233,68.6763070077864,51.8576195773081,39.944382647386,30.8843159065628,22.9755283648498,16.3181312569522,10.4115684093437
2.02018056293149,87.8476084538376,75.7842046718576,59.1657397107898,47.4527252502781,37.6418242491657,28.4816462736374,19.3715239154616,11.9632925472747
2.51938396176314,90.3003337041157,79.7385984427141,64.6718576195773,53.8598442714127,43.0478309232481,33.1368186874305,22.6251390433815,14.0656284760845
2.70207116303771,90.7007786429366,80.9399332591769,66.1234705228031,55.8120133481646,45,34.7385984427141,23.5261401557286,14.3659621802002
2.91874668082847,91.551724137931,82.3414905450501,67.174638487208,,47.1023359288098,36.440489432703,24.4771968854283,15.4171301446051
3.01433882103027,91.4015572858732,82.741935483871,,,47.7030033370412,37.0411568409344,24.7274749721913,15.567296996663
3.11630377057886,91.7018909899889,83.1423804226919,,,48.7541713014461,38.0923248053393,25.5784204671858,15.9677419354839
3.51141795007966,,83.9933259176863,,,51.7575083426029,40.6952169076752,27.3804226918799,17.3192436040045
3.55602761550717,,84.1935483870968,,,52.2080088987764,41.245828698554,27.6307007786429,17.6696329254727
3.65374402549124,,,,,52.7586206896552,41.7463848720801,27.9810901001112,17.7196885428254
3.7068507700478,,,,,,42.146829810901,28.0311457174638,18.2202447163515
3.95114179500797,,,,,,43.8487208008899,28.9822024471635,
4.01062134891131,,,,,,,29.1323692992214,
4.19118428040361,,,,,,,30.0333704115684,
